iter	Passed	Remaining
0	1	148
1	2	117
2	4	153
3	6	147
4	7	136
5	8	125
6	8	117
7	9	111
8	10	106
9	11	106
10	12	102
11	13	98
12	14	95
13	14	91
14	15	89
15	16	86
16	17	84
17	20	92
18	22	94
19	23	92
20	24	91
21	25	88
22	26	87
23	27	85
24	27	83
25	28	81
26	29	80
27	30	78
28	31	76
29	34	79
30	35	78
31	36	77
32	39	79
33	39	77
34	40	75
35	41	74
36	42	72
37	43	71
38	44	69
39	45	67
40	46	66
41	47	65
42	48	64
43	49	63
44	50	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	59	51
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	67	43
61	68	42
62	69	41
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	33
69	77	33
70	78	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	87	21
80	88	20
81	89	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	106	3
97	107	2
98	108	1
99	109	0
